,,,,
,,,,
WEEK 2,,,,
,,,,
,Favorite,Line,vs/at,Under Dog
,,,,
"Friday, September 5, 2025",,,,
,,,,
,Louisville,-14.5,vs,James Madison
,Maryland,-14.5,vs,Northern Illinois
,,,,
"Saturday, September 6, 2025",,,,
,,,,
,Syracuse,-8.5,vs,UConn
,Indiana,-33.5,vs,Kennesaw State
,Texas Tech,-45.5,vs,Kent State
,SMU,-3.5,vs,Baylor
,Texas,-37.5,vs,San Jose State
,Pittsburgh,-21.5,vs,Central Michigan
,Liberty,-7.5,at,Jacksonville State
,Illinois,-3.5,at,Duke
,Penn State,-42.5,vs,FIU
,Iowa State,-1.5,vs,Iowa
,NC State,-3,vs,Virginia
,Texas A&M,-32.5,vs,Utah State
,Colorado,-24.5,vs,Delaware
,Missouri,-5.5,vs,Kansas
,Oregon State,-3,vs,Fresno State
,Rutgers,-15.5,vs,Miami (OH)
,Cincinnati,-17.5,vs,Bowling Green
,Ole Miss,-9.5,at,Kentucky
,Oregon,-23.5,vs,Oklahoma State
,Navy,-21.5,vs,UAB
,UTSA,-5.5,vs,Texas State
,North Texas,-7,at,Western Michigan
,Clemson,-33.5,vs,Troy
,Wisconsin,-27.5,vs,Middle Tennessee
,West Virginia,-3,at,Ohio
,Florida,-17.5,vs,South Florida
,Arkansas,-19.5,vs,Arkansas State
,Marshall,-8.5,vs,Missouri State
,Kansas State,-16.5,vs,Army
,Tulane,-7.5,at,South Alabama
,North Carolina,-21.5,at,UNC Charlotte
,Memphis,-13.5,at,Georgia State
,Houston,-14.5,at,Rice
,Toledo,-4.5,vs,Western Kentucky
,Nebraska,-35.5,vs,Akron
,Auburn,-42.5,vs,Ball State
,Arizona State,-10,at,Mississippi State
,Michigan State,-3.5,vs,Boston College
,USC,-24.5,vs,Georgia Southern
,LSU,-36.5,vs,LA-Tech
,Oklahoma,-1.5,vs,Michigan
,Virginia Tech,-3,vs,Vanderbilt
,Alabama,-37.5,vs,LA-Monroe
,UCLA,-1.5,at,UNLV
,Tulsa,-1.5,vs,New Mexico State
,Washington State,-6.5,vs,San Diego State
,BYU,-17.5,vs,Stanford
,Hawaii,-7.5,vs,Sam Houston
,,,,
